iter	RMSE
0	0.420198056
1	0.415478664
2	0.4112920429
3	0.4073278528
4	0.4037526277
5	0.4003544161
6	0.3972667843
7	0.3944757153
8	0.3919781408
9	0.3897618522
10	0.3876095795
11	0.3857186167
12	0.384119265
13	0.3824809367
14	0.381043413
15	0.3797987488
16	0.3785428892
17	0.3773678392
18	0.3761807716
19	0.375200228
20	0.3742839824
21	0.3734506723
22	0.3725915491
23	0.3719184064
24	0.3711675547
25	0.3704634128
26	0.3697604396
27	0.3692652859
28	0.3688457209
29	0.368250054
30	0.3678313126
31	0.3674248844
32	0.3669636764
33	0.3665134558
34	0.3661660172
35	0.3657766725
36	0.3654985282
37	0.3652496278
38	0.3650657232
39	0.3646984433
40	0.3644200282
41	0.3640518542
42	0.3638070162
43	0.3635452454
44	0.3632806397
45	0.3629994983
46	0.3627342198
47	0.3624545161
48	0.3621044211
49	0.361900397
50	0.3617388923
51	0.361376006
52	0.3612163516
53	0.3609400883
54	0.3607591741
55	0.3605096751
56	0.3603513501
57	0.3601021403
58	0.3598723892
59	0.3595904969
60	0.3593478551
61	0.3592285521
62	0.3590817251
63	0.3589400968
64	0.3587735434
65	0.358611854
66	0.3583867749
67	0.3582031453
68	0.3580572723
69	0.3578876707
70	0.3577452768
71	0.3575603794
72	0.3574404009
73	0.3573090663
74	0.3571585022
75	0.3569489027
76	0.356820783
77	0.3566269592
78	0.356509756
79	0.3563130994
80	0.3561953322
81	0.3560823256
82	0.3559275303
83	0.3557919687
84	0.3556567313
85	0.35550496
86	0.355378034
87	0.3553089929
88	0.3550951289
89	0.3548808232
90	0.3547754815
91	0.3547392773
92	0.3545914175
93	0.3544818719
94	0.3543541988
95	0.354205703
96	0.3540612025
97	0.3539332067
98	0.3537267188
99	0.3535964375
100	0.3534873194
101	0.3533606819
102	0.3531696782
103	0.353026188
104	0.3528192499
105	0.3525666874
106	0.3524463488
107	0.3523315024
108	0.3522147278
109	0.3520689657
110	0.3519448375
111	0.3517751708
112	0.3515877979
113	0.3514959292
114	0.3512777618
115	0.3511574718
116	0.351012131
117	0.3508263934
118	0.3507176911
119	0.3505987435
120	0.3504731375
121	0.3503504186
122	0.3502760881
123	0.3501506979
124	0.3500053533
125	0.3498361122
126	0.3496847171
127	0.3494711548
128	0.3493114537
129	0.3492382564
130	0.349128042
131	0.3490494254
132	0.3489048414
133	0.3487556063
134	0.3486134603
135	0.3485425192
136	0.3484137099
137	0.3482555929
138	0.3480932193
139	0.3480187929
140	0.3478557479
141	0.3477437945
142	0.3475891388
143	0.3474644025
144	0.3473077225
145	0.347195714
146	0.3471245359
147	0.3469960913
148	0.3468446215
149	0.3467527505
150	0.3466126603
151	0.3465016915
152	0.3463093215
153	0.346131138
154	0.345949675
155	0.3458048938
156	0.3457022747
157	0.3455858468
158	0.3454705947
159	0.3453626187
160	0.3452274551
161	0.3450723505
162	0.3449250085
163	0.3447360952
164	0.3445462282
165	0.3444399804
166	0.3443114631
167	0.3442085179
168	0.3440328272
169	0.3439344126
170	0.3437641796
171	0.3436574002
172	0.3435000221
173	0.3433731973
174	0.343266473
175	0.3431182853
176	0.3430062079
177	0.3428345331
178	0.3426699381
179	0.3425182313
180	0.3423856428
181	0.3422107359
182	0.3420997692
183	0.3419682111
184	0.3418036409
185	0.3416608211
186	0.3415399467
187	0.3413889401
188	0.3413017334
189	0.3411384173
190	0.340976096
191	0.3407292243
192	0.3406009239
193	0.3404697638
194	0.3402908934
195	0.3400930576
196	0.3399153741
197	0.3398421718
198	0.3397225904
199	0.3395900953
200	0.3394501677
201	0.3393061131
202	0.3391014104
203	0.3389485995
204	0.3387474466
205	0.338563394
206	0.3384052395
207	0.3382834123
208	0.3381502728
209	0.3380029012
210	0.3378943336
211	0.3377323286
212	0.3376085387
213	0.3374267894
214	0.337282581
215	0.3371228431
216	0.3370211508
217	0.336889877
218	0.3367655747
219	0.3366094718
220	0.3364821671
221	0.3363978314
222	0.3362252187
223	0.3360903547
224	0.3359214721
225	0.3357757919
226	0.3356850831
227	0.3355290676
228	0.3353871211
229	0.3352490629
230	0.3351341264
231	0.3348870179
232	0.3347388592
233	0.3345568014
234	0.3343981941
235	0.3342408708
236	0.3340349712
237	0.3339473089
238	0.3337170254
239	0.3335770511
