iter	Passed	Remaining
0	136	136420
1	140	70263
2	144	48029
3	148	36948
4	152	30280
5	155	25742
6	158	22416
7	160	19900
8	163	17975
9	166	16469
10	169	15214
11	172	14191
12	175	13310
13	178	12545
14	180	11873
15	183	11279
16	185	10745
17	188	10278
18	190	9857
19	193	9471
20	196	9145
21	198	8834
22	201	8552
23	203	8294
24	206	8057
25	209	7836
26	211	7631
27	214	7441
28	216	7260
29	219	7094
30	221	6936
31	224	6787
32	227	6652
33	229	6523
34	232	6399
35	234	6283
36	237	6172
37	239	6071
38	242	5978
39	245	5889
40	248	5806
41	250	5722
42	253	5637
43	255	5559
44	258	5484
45	260	5412
46	263	5343
47	266	5276
48	268	5215
49	271	5152
50	273	5090
51	276	5032
52	278	4978
53	281	4924
54	283	4872
55	286	4821
56	288	4780
57	291	4735
58	294	4690
59	296	4645
60	299	4608
61	302	4572
62	304	4535
63	307	4496
64	309	4458
65	312	4423
66	315	4387
67	317	4353
68	320	4319
69	322	4287
70	325	4254
71	328	4227
72	330	4196
73	333	4169
74	335	4140
75	338	4111
76	340	4082
77	343	4058
78	346	4034
79	348	4009
80	351	3984
81	353	3958
82	356	3934
83	358	3911
84	361	3889
85	363	3866
86	366	3844
87	368	3822
88	371	3800
89	373	3779
90	376	3759
91	377	3729
92	380	3710
93	383	3692
94	385	3675
95	388	3657
96	390	3637
97	393	3619
98	395	3603
99	398	3585
100	400	3568
101	403	3551
102	405	3534
103	408	3518
104	410	3501
105	413	3486
106	415	3470
107	418	3455
108	420	3440
109	423	3427
110	426	3412
111	428	3397
112	430	3382
113	433	3368
114	435	3354
115	438	3340
116	440	3327
117	443	3315
118	446	3302
119	448	3290
120	451	3276
121	453	3265
122	456	3253
123	458	3241
124	461	3229
125	463	3218
126	466	3206
127	468	3194
128	471	3183
129	473	3171
130	476	3160
131	478	3149
132	481	3139
133	484	3128
134	486	3118
135	489	3107
136	491	3098
137	494	3087
138	496	3077
139	499	3067
140	502	3058
141	504	3047
142	506	3038
143	509	3028
144	512	3019
145	514	3009
146	516	2998
147	519	2989
148	521	2980
149	524	2970
150	526	2961
151	529	2952
152	531	2943
153	534	2934
154	536	2925
155	539	2917
156	541	2908
157	544	2899
158	546	2891
159	549	2883
160	551	2874
161	553	2865
162	556	2856
163	558	2848
164	561	2841
165	563	2832
166	600	2993
167	603	2988
168	606	2982
169	609	2975
170	617	2993
171	620	2986
172	622	2977
173	625	2968
174	627	2959
175	630	2950
176	632	2942
177	635	2934
178	637	2925
179	640	2916
180	642	2908
181	645	2899
182	647	2891
183	650	2884
184	652	2876
185	655	2867
186	657	2860
187	660	2852
188	662	2844
189	665	2836
190	667	2828
191	670	2820
192	672	2813
193	675	2805
194	677	2798
195	680	2793
196	683	2786
197	686	2779
198	688	2772
199	691	2764
200	693	2757
201	696	2751
202	699	2744
203	701	2737
204	703	2730
205	706	2723
206	709	2716
207	711	2709
208	714	2702
209	716	2696
210	719	2689
211	721	2682
212	724	2675
213	726	2668
214	729	2662
215	731	2655
216	734	2649
217	736	2642
218	739	2636
219	741	2629
220	744	2622
221	746	2615
222	748	2609
223	751	2602
224	753	2596
225	756	2590
226	758	2584
227	761	2579
228	764	2573
229	767	2568
230	769	2561
231	772	2556
232	774	2550
233	777	2544
234	779	2537
235	782	2531
236	784	2526
237	787	2520
238	789	2514
239	792	2508
240	794	2503
241	797	2497
242	799	2491
243	802	2485
244	804	2480
245	807	2474
246	809	2468
247	812	2464
248	815	2458
249	817	2453
250	820	2447
251	822	2442
252	825	2437
253	828	2431
254	830	2426
255	833	2421
256	835	2416
257	838	2411
258	840	2405
259	843	2400
260	846	2395
261	848	2389
262	851	2384
263	853	2379
264	856	2374
265	858	2369
266	861	2364
267	863	2358
268	866	2354
269	868	2349
270	871	2344
271	873	2338
272	876	2333
273	878	2328
274	881	2323
275	883	2318
276	886	2313
277	888	2308
278	891	2303
279	893	2298
280	896	2293
281	898	2288
282	901	2284
283	903	2278
284	906	2273
285	908	2268
286	911	2263
287	913	2259
288	916	2254
289	918	2249
290	921	2244
291	923	2239
292	926	2235
293	928	2230
294	931	2225
295	933	2220
296	936	2215
297	938	2210
298	940	2205
299	943	2201
300	945	2196
301	948	2191
302	950	2186
303	952	2181
304	955	2177
305	957	2172
306	960	2167
307	962	2162
308	965	2158
309	967	2153
310	970	2149
311	972	2144
312	975	2140
313	978	2136
314	980	2132
315	983	2127
316	985	2123
317	988	2119
318	990	2115
319	993	2110
320	995	2105
321	998	2102
322	1000	2098
323	1003	2093
324	1005	2089
325	1008	2084
326	1011	2080
327	1013	2076
328	1015	2072
329	1018	2067
330	1020	2063
331	1023	2059
332	1025	2054
333	1028	2050
334	1030	2046
335	1033	2041
336	1035	2037
337	1038	2033
338	1040	2029
339	1043	2025
340	1045	2020
341	1048	2016
342	1050	2012
343	1053	2008
344	1055	2004
345	1058	2000
346	1060	1996
347	1063	1992
348	1066	1988
349	1068	1984
350	1071	1980
351	1073	1976
352	1075	1971
353	1078	1967
354	1080	1963
355	1083	1959
356	1085	1955
357	1088	1951
358	1090	1947
359	1093	1944
360	1096	1940
361	1098	1936
362	1101	1932
363	1104	1929
364	1107	1926
365	1109	1922
366	1112	1919
367	1115	1915
368	1117	1911
369	1120	1907
370	1122	1903
371	1125	1900
372	1128	1897
373	1131	1893
374	1134	1890
375	1137	1887
376	1140	1884
377	1142	1880
378	1145	1876
379	1147	1872
380	1150	1868
381	1152	1865
382	1155	1861
383	1157	1857
384	1160	1853
385	1163	1850
386	1165	1846
387	1168	1842
388	1170	1838
389	1173	1835
390	1175	1831
391	1178	1827
392	1180	1824
393	1183	1820
394	1185	1816
395	1188	1812
396	1191	1809
397	1193	1805
398	1196	1802
399	1198	1798
400	1201	1794
401	1203	1790
402	1206	1787
403	1209	1783
404	1212	1780
405	1214	1777
406	1217	1773
407	1219	1769
408	1222	1765
409	1224	1762
410	1227	1758
411	1229	1754
412	1232	1751
413	1234	1747
414	1236	1743
415	1239	1739
416	1242	1736
417	1244	1732
418	1246	1728
419	1249	1725
420	1251	1721
421	1254	1717
422	1256	1714
423	1259	1710
424	1261	1707
425	1264	1703
426	1266	1699
427	1268	1695
428	1271	1692
429	1274	1688
430	1276	1685
431	1279	1681
432	1281	1678
433	1284	1674
434	1286	1671
435	1289	1668
436	1292	1664
437	1294	1660
438	1296	1657
439	1299	1653
440	1301	1650
441	1304	1646
442	1306	1643
443	1309	1639
444	1311	1635
445	1314	1632
446	1316	1628
447	1319	1625
448	1322	1622
449	1324	1619
450	1327	1616
451	1330	1613
452	1333	1609
453	1335	1606
454	1338	1603
455	1340	1599
456	1343	1596
457	1345	1592
458	1348	1589
459	1350	1585
460	1353	1582
461	1356	1579
462	1358	1576
463	1361	1572
464	1364	1569
465	1366	1566
466	1369	1562
467	1371	1559
468	1374	1556
469	1377	1553
470	1379	1549
471	1382	1546
472	1385	1543
473	1387	1539
474	1390	1536
475	1392	1532
476	1395	1529
477	1397	1526
478	1400	1523
479	1402	1519
480	1405	1516
481	1407	1513
482	1410	1509
483	1412	1506
484	1415	1503
485	1418	1499
486	1420	1496
487	1423	1493
488	1426	1490
489	1428	1487
490	1431	1483
491	1433	1480
492	1436	1477
493	1438	1473
494	1441	1470
495	1443	1467
496	1446	1463
497	1448	1460
498	1451	1457
499	1453	1453
500	1456	1450
501	1458	1447
502	1461	1444
503	1464	1440
504	1466	1437
505	1468	1434
506	1471	1430
507	1474	1427
508	1476	1424
509	1478	1420
510	1481	1417
511	1483	1414
512	1487	1411
513	1489	1408
514	1492	1405
515	1495	1402
516	1497	1399
517	1500	1395
518	1502	1392
519	1505	1389
520	1507	1386
521	1510	1383
522	1512	1379
523	1515	1376
524	1517	1373
525	1520	1370
526	1522	1366
527	1525	1363
528	1527	1360
529	1530	1357
530	1532	1353
531	1535	1350
532	1537	1347
533	1540	1344
534	1542	1340
535	1545	1337
536	1547	1334
537	1550	1331
538	1552	1327
539	1555	1324
540	1557	1321
541	1559	1318
542	1562	1314
543	1564	1311
544	1567	1308
545	1570	1305
546	1572	1302
547	1575	1299
548	1577	1295
549	1580	1292
550	1582	1289
551	1585	1286
552	1587	1283
553	1590	1280
554	1592	1277
555	1595	1273
556	1597	1270
557	1600	1267
558	1603	1264
559	1605	1261
560	1607	1258
561	1610	1255
562	1613	1252
563	1616	1249
564	1618	1246
565	1621	1242
566	1623	1239
567	1626	1236
568	1628	1233
569	1631	1230
570	1633	1227
571	1636	1224
572	1638	1221
573	1641	1218
574	1643	1215
575	1646	1211
576	1648	1208
577	1651	1205
578	1653	1202
579	1656	1199
580	1658	1196
581	1661	1193
582	1663	1190
583	1666	1186
584	1668	1183
585	1671	1180
586	1673	1177
587	1676	1174
588	1678	1171
589	1681	1168
590	1683	1165
591	1686	1162
592	1689	1159
593	1691	1156
594	1694	1153
595	1696	1150
596	1699	1147
597	1701	1143
598	1704	1140
599	1706	1137
600	1709	1134
601	1712	1131
602	1714	1128
603	1717	1125
604	1719	1122
605	1722	1119
606	1724	1116
607	1727	1113
608	1729	1110
609	1732	1107
610	1734	1104
611	1737	1101
612	1739	1098
613	1742	1095
614	1744	1092
615	1747	1089
616	1749	1086
617	1752	1083
618	1754	1080
619	1757	1077
620	1759	1074
621	1762	1071
622	1765	1068
623	1767	1065
624	1770	1062
625	1772	1059
626	1775	1056
627	1777	1053
628	1780	1049
629	1782	1046
630	1785	1043
631	1787	1040
632	1789	1037
633	1792	1034
634	1794	1031
635	1797	1028
636	1799	1025
637	1802	1022
638	1804	1019
639	1807	1016
640	1809	1013
641	1811	1010
642	1814	1007
643	1816	1004
644	1819	1001
645	1821	998
646	1824	995
647	1826	992
648	1829	989
649	1831	986
650	1834	983
651	1836	980
